jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
20,0,Ritsu Dōan,ORM,SGE-FCB,2nd half,3526374,3674654,61.98788932565593,62.68625129054314,16.1569931178331,18136,55.75301453282982,36.955863608186306,95.33308143356038,6.045333333333334,0.12230832001402742
4,1,Jonathan Glao Tah,IVL,SGE-FCB,2nd half,3526374,3674654,64.60840704126284,64.8647696470873,14.619534704123778,148281,62.84767081660472,36.15762983290507,95.40683254916472,49.427,1.0
17,1,Michael Akpovie Olise,ORM,SGE-FCB,2nd half,3526374,3674654,63.12484420318266,64.27153887095605,16.324900353159755,37980,57.26648413003969,40.074123948906404,93.98671122164953,12.66,0.2561353106601655
9,0,Jonathan Michael Burkardt,STZ,SGE-FCB,2nd half,3526374,3674654,62.717314228222,63.43959716749483,16.204068748001443,118845,58.059024326798074,35.96821968192288,95.67746197641968,39.615,0.8014850183098307
42,0,Can Yılmaz Uzun,ZO,SGE-FCB,2nd half,3526374,3674654,61.21363428999531,61.67803318425145,16.099132427174148,18380,54.884446018654856,35.74631547586232,95.11987079924894,6.126666666666667,0.12395384439004323
8,1,Leon Christoph Goretzka,DML,SGE-FCB,2nd half,3526374,3674654,61.975351580766855,63.013148342501594,16.029343064401278,88240,55.98602833217578,36.5687985982013,95.36766889478719,29.413333333333334,0.5950863563099791
30,1,Cassiano Tomas Kiala,,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
1,1,Manuel Peter Neuer,TW,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
24,0,Aurélio Gabriel Ulineia Buta,RV,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
15,0,Ellyes Joris Skhiri,DML,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
6,0,Oscar Winther Höjlund,DMZ,SGE-FCB,2nd half,3526374,3674654,64.76422413362722,65.68242339587685,15.439143341435809,146509,62.01357767547499,37.397737918965234,95.79823895915888,48.83633333333333,0.9880497164168033
23,1,Michael Zetterer,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
34,1,Pharrell Nnamdi Collins,RV,SGE-FCU,1st half,2790176,2943018,62.381645596580555,62.9964401253625,16.60401108963468,152843,56.74688653661454,37.20631698659114,95.06998628652468,50.94766666666667,1.0
4,0,Diogo Filipe Monteiro Pinto Leite,IVL,SGE-FCU,1st half,2790176,2943018,59.80903168996662,60.62971852817957,16.790678364497516,152843,52.36413553600296,34.52457404416547,95.02001754105265,50.94766666666667,1.0
27,1,Mario Götze,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
3,1,Arthur Nicolas Theate,IVL,SGE-FCU,1st half,2790176,2943018,61.876225236984595,62.917321360285584,16.083588784915445,152839,57.592423019406255,34.76744089782428,94.69674586624939,50.946333333333335,0.9999738293543048
28,0,Christopher Trimmel,DRM,SGE-FCU,1st half,2790176,2943018,59.7495254051091,60.24979743720104,17.90736285196642,152843,52.8507663720082,34.92833247259239,93.76906371509364,50.94766666666667,1.0
17,0,David Preu,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
5,1,Aurèle Florian Amenda,IVR,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
8,0,Rani Khedira,DMR,SGE-FCU,1st half,2790176,2943018,60.503547033558185,61.280575259330554,16.771279546847303,152843,51.839072405393765,36.894301852427816,95.66542505224113,50.94766666666667,1.0
19,0,Janik Haberer,DML,SGE-FCU,1st half,2790176,2943018,59.000798455269695,60.44533104763716,17.459783821818625,152339,51.660630462962175,31.887541887462564,95.90094567948682,50.77966666666667,0.9967024986423978
41,0,Oluwaseun God Power Osaro Ogbemudia,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
10,0,Ilyas Ansah,OHL,SGE-FCU,1st half,2790176,2943018,59.081153068371556,59.951540908885875,17.19984937215061,152395,51.10240319301287,33.34000746402289,95.46063183986516,50.79833333333333,0.9970688876821313
1,0,Frederik Riis Rønnow,TW,SGE-FCU,1st half,2790176,2943018,65.33890501321589,66.35793402864536,15.187197248414986,152843,69.52363756773212,33.438911084768506,91.65925553564162,50.94766666666667,1.0
16,1,Hugo Emanuel Larsson,DMZ,SGE-FCU,1st half,2790176,2943018,60.998933160377966,61.89547283672695,16.410296327896866,152843,53.895116893456766,35.35399119266337,96.11563015065418,50.94766666666667,1.0
7,1,Ansgar Knauff,OLM,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
40,1,Kauã Morais Vieira dos Santos,TW,SGE-FCU,1st half,2790176,2943018,68.29047778252284,68.74215478815012,15.636199628538977,152207,70.61661686846924,43.24643933692496,90.2329974468589,50.73566666666667,0.9958388673344543
21,0,Tim Skarke,DRM,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
20,1,Ritsu Dōan,ORM,SGE-FCU,1st half,2790176,2943018,60.74669731812262,61.667236852161906,17.070408110272183,152843,52.177938296167376,38.11003549110057,94.80837117441834,50.94766666666667,1.0
23,0,Andrej Ilić,STZ,SGE-FCU,1st half,2790176,2943018,61.64939112107551,63.016340065268956,17.130452614982747,152383,53.722266844993456,38.68329196692163,95.18498931000545,50.794333333333334,0.9969903757450456
14,0,Leopold Querfeld,IVZ,SGE-FCU,1st half,2790176,2943018,62.488647932619315,63.85547178288528,15.579354729372096,152843,58.86933520833835,34.835490977603726,94.96755518667618,50.94766666666667,1.0
5,0,Danilho Raimundo Doekhi,IVR,SGE-FCU,1st half,2790176,2943018,61.000742141446054,62.05681454562284,16.273920912310256,152843,55.27986875280969,35.10996604116829,94.5193494265723,50.94766666666667,1.0
27,0,Marin Ljubicic,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
9,1,Jonathan Michael Burkardt,STL,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
42,1,Can Yılmaz Uzun,HL,SGE-FCU,1st half,2790176,2943018,58.95843657616052,60.41470787315831,17.029677180563453,151683,52.070149500589864,31.739741730948538,95.36151418880004,50.561,0.9924105127483758
24,1,Aurélio Gabriel Ulineia Buta,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
6,1,Oscar Winther Höjlund,DML,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
15,1,Ellyes Joris Skhiri,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
7,0,Oliver Jasen Burke,OHR,SGE-FCU,1st half,2790176,2943018,58.435957190498826,58.842124882542336,16.507054525002868,152843,49.26989371791667,34.65515755833454,94.43817478610598,50.94766666666667,1.0
31,0,Matheo Raab,,SGE-FCU,1st half,2790176,2943018,,,,0,,,,0.0,0.0
4,1,Robin Leon Koch,IVR,SGE-FCU,1st half,2790176,2943018,63.308703517433855,63.89443696838151,15.52967951268489,152843,61.25140169930177,34.25079735470774,95.10967877100275,50.94766666666667,1.0
