jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,hbd_mean_deg,hbd_n_frames,scan_forward_pct,scan_lateral_pct,scan_blindside_pct,n_classified_scans,pre_pass_awi,pre_pass_scan_pct,n_passes_tracked
8,1,Tiago Barreiros de Melo Tomás,OHR,BVB-VFB,2nd half,2984098,3141386,911,52.43,17.38,0.9957,18.0,156609,0.9879,0.0066,0.0055,911,18.86,0.1257,14
11,1,Bilal El Khannouss,OHL,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
18,1,Jamie Leweling,DLM,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
22,1,Lorenz Assignon,DRM,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
24,1,Julian Jeffrey Gaston Chabot,IVZ,BVB-VFB,2nd half,2984098,3141386,386,52.43,7.36,0.4744,15.62,74624,0.9948,0.0052,0.0,386,16.5,0.085,8
26,1,Deniz Undav,STZ,BVB-VFB,2nd half,2984098,3141386,658,52.43,12.55,1.0,13.16,157289,0.9939,0.0061,0.0,658,13.33,0.0756,9
29,1,Finn Jeltsch,IVR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
30,1,José María Andrés Baixauli,DMR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
1,1,Fabian Bredlow,,BVB-VFB,2nd half,2984098,3141386,193,52.43,3.68,1.0,12.43,157289,0.9793,0.0155,0.0052,193,,,0
2,1,Ameen Al-Dakhil,,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
23,1,Dan-Axel Zagadou,,BVB-VFB,2nd half,2984098,3141386,608,52.43,11.6,1.0,14.05,157289,0.9951,0.0033,0.0016,608,,,0
27,1,Badredine Bouanani,,BVB-VFB,2nd half,2984098,3141386,233,52.43,4.44,0.3893,12.33,61228,0.9914,0.0043,0.0043,233,,,0
3,1,Ramon Hendriks,IVL,BVB-VFB,2nd half,2984098,3141386,564,52.43,10.76,1.0,14.35,157289,0.9982,0.0018,0.0,564,16.8,0.0488,5
4,1,Josha Mamadou Karaboue Vagnoman,DLM,BVB-VFB,2nd half,2984098,3141386,616,52.43,11.75,0.9952,16.97,156529,0.9935,0.0065,0.0,616,12.0,0.058,2
10,1,Chris Jan Führich,OHL,BVB-VFB,2nd half,2984098,3141386,218,52.43,4.16,0.5225,15.85,82177,0.9954,0.0046,0.0,218,,,0
16,1,Atakan Karazor,DMR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
28,1,Nikolas Terkelsen Nartey,DMR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
1,0,Gregor Kobel,TW,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
3,0,Waldemar Anton,IVR,BVB-VFB,2nd half,2984098,3141386,286,52.43,5.45,0.34,20.26,53484,0.986,0.014,0.0,286,12.0,0.043,4
4,0,Nico Cedric Schlotterbeck,IVL,BVB-VFB,2nd half,2984098,3141386,65,52.43,1.24,0.0828,17.0,13016,1.0,0.0,0.0,65,8.0,0.056,3
7,0,Jobe Samuel Patrick Bellingham,DMR,BVB-VFB,2nd half,2984098,3141386,428,52.43,8.16,0.6599,15.84,103797,0.9977,0.0023,0.0,428,10.0,0.0373,12
8,0,Felix Kalu Nmecha,DML,BVB-VFB,2nd half,2984098,3141386,414,52.43,7.9,0.5252,16.8,82613,0.9517,0.0242,0.0242,414,16.0,0.1324,9
9,0,Serhou Yadaly Guirassy,STZ,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
10,0,Julian Brandt,OHR,BVB-VFB,2nd half,2984098,3141386,331,52.43,6.31,0.4747,16.2,74672,0.9909,0.006,0.003,331,,,0
14,0,Maximilian Beier,DLM,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
17,0,Carney Chibueze Chukwuemeka,OHL,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
23,0,Emre Can,IVZ,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
26,0,Julian Ryerson,DRM,BVB-VFB,2nd half,2984098,3141386,631,52.43,12.04,1.0,17.17,157289,0.9921,0.0048,0.0032,631,6.0,0.0337,12
2,0,Yan Bueno Couto,,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
6,0,Salih Özcan,,BVB-VFB,2nd half,2984098,3141386,538,52.43,10.26,0.9135,16.49,143677,0.974,0.0167,0.0093,538,,,0
13,0,Pascal Groß,,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
20,0,Marcel Sabitzer,,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
28,0,Aarón Anselmino,,BVB-VFB,2nd half,2984098,3141386,308,52.43,5.87,0.339,17.28,53324,1.0,0.0,0.0,308,,,0
33,0,Alexander Niklas Meyer-Schade,,BVB-VFB,2nd half,2984098,3141386,253,52.43,4.83,0.9976,13.92,156912,0.9921,0.0079,0.0,253,,,0
21,0,Fabio Daniel Soares Silva,OHL,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
24,0,Daniel Jonathan Svensson,DLM,BVB-VFB,2nd half,2984098,3141386,442,52.43,8.43,1.0,17.12,157289,0.948,0.0204,0.0317,442,4.0,0.0107,6
27,0,Karim David Adeyemi,OHR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
1,1,Manuel Peter Neuer,TW,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
2,1,Dayotchanculle Oswald Upamecano,IVR,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
4,1,Jonathan Glao Tah,IVL,SGE-FCB,1st half,3331222,3476767,565,48.52,11.65,1.0,16.65,145546,0.9929,0.0071,0.0,565,16.62,0.0772,39
6,1,Joshua Walter Kimmich,DMR,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
7,1,Serge David Gnabry,ZO,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
8,1,Leon Christoph Goretzka,DML,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
9,1,Harry Edward Kane,STZ,SGE-FCB,1st half,3331222,3476767,490,48.52,10.1,1.0,16.71,145546,0.9755,0.0204,0.0041,490,11.08,0.0769,13
14,1,Luis Fernando Díaz Marulanda,OLM,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
17,1,Michael Akpovie Olise,ORM,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
23,1,Sacha Boey,RV,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
27,1,Konrad Laimer,LV,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
3,1,Minjae Kim,,SGE-FCB,1st half,3331222,3476767,748,48.52,15.42,1.0,18.0,145546,0.9973,0.0027,0.0,748,,,0
26,1,Sven Ulreich,,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
30,1,Cassiano Tomas Kiala,,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
36,1,Wisdom Okpako Mike,,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
11,1,Nicolas Jackson,STZ,SGE-FCB,1st half,3331222,3476767,0,0.0,0.0,0.0,,0,,,,0,,,0
20,1,Tom Bischof,DMR,SGE-FCB,1st half,3331222,3476767,920,48.52,18.96,1.0,18.03,145546,1.0,0.0,0.0,920,,,0
