jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,1st half,3330943,3484329,61.982585682860574,63.11059648809443,16.524772500479642,152387,55.45911676049352,37.592799602334715,95.07033032654248,50.79566666666666,0.9934805426796274
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,1st half,3330943,3484329,64.67716571329477,66.03577479570713,16.025970077084896,148991,61.450049719888746,37.637635958009426,96.01951679312153,49.66366666666667,0.9713404656196418
29,0,Emir Sahiti,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
20,0,Fábio Daniel Ferreira Vieira,RA,FCB-HSV,1st half,3330943,3484329,60.13521840477757,61.065900229747754,16.565546019025398,152599,53.79129278728009,33.52429179886332,95.20471250068849,50.86633333333334,0.9948626676315464
22,0,Aboubaka Soumahoro,IVL,FCB-HSV,1st half,3330943,3484329,62.42672771838144,63.3526607902314,15.930959144304156,153043,56.65434988026555,37.062949069943606,95.48701015097376,51.01433333333333,0.997757306681792
4,1,Jonathan Glao Tah,IVL,FCB-HSV,1st half,3330943,3484329,61.39130345391055,62.01871747991261,15.321261913746454,152451,56.89783506389383,34.00606238897987,94.7678357055302,50.817,0.9938977879481312
17,1,Michael Akpovie Olise,ORM,FCB-HSV,1st half,3330943,3484329,59.108472768797846,59.8299268930257,16.577601048445004,152523,50.66859938542195,34.29143544237054,95.17867460639296,50.841,0.994367188875198
9,0,Robert-Nesta Glatzel,STZ,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
8,1,Leon Christoph Goretzka,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
11,0,Ransford-Yeboah Königsdörffer,STZ,FCB-HSV,1st half,3330943,3484329,62.18963510736213,63.42294027772009,15.950626388867068,152019,58.13210466689296,34.52254807375131,95.26676272826516,50.673,0.9910813823857302
44,0,Luka Vušković,IVZ,FCB-HSV,1st half,3330943,3484329,61.78555082179726,62.437075406509194,16.034835513874267,153271,53.311317752235965,39.54075534480235,95.32932372487392,51.090333333333334,0.9992437429508368
1,1,Manuel Peter Neuer,TW,FCB-HSV,1st half,3330943,3484329,64.54676969732759,65.15302636772866,14.85096762156741,147447,67.7580412936728,33.938500509713194,90.87334342314838,49.149,0.9612744235169864
2,0,William Mikelbrencis,DRM,FCB-HSV,1st half,3330943,3484329,59.52998378899221,60.133049580808034,16.417789868636078,153387,51.42795719287745,36.13099635747583,93.7316733486616,51.129,1.0
24,0,Nicolas Capaldo Taboas,DML,FCB-HSV,1st half,3330943,3484329,60.53534166173772,61.27100167428323,16.70570015708335,153387,52.14914018977047,36.23682509657422,96.01546018952418,51.129,1.0
26,0,Daniel Peretz,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
6,0,Albert-Mboyo Sambi Lokonga,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
23,1,Sacha Boey,RV,FCB-HSV,2nd half,3536417,3678119,60.38140382971502,61.21155972386312,16.003069614363316,49481,53.64842634617833,34.108071639737574,95.63203933107472,16.493666666666666,0.3491880905838267
45,1,Aleksandar Pavlović,DML,FCB-HSV,2nd half,3536417,3678119,62.11515358078576,63.14300836831049,16.11806644614535,140479,57.40440752526232,34.30619878968595,96.2051031125835,46.82633333333333,0.9913622153377134
27,1,Konrad Laimer,RV,FCB-HSV,2nd half,3536417,3678119,59.11395143588199,59.61363409353293,16.806090216938877,140571,49.31168616986562,36.48600422152226,94.81158567159687,46.857,0.9920114605901076
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,2nd half,3536417,3678119,59.91708347355152,60.49705144958483,16.812957973072184,90594,52.21253686770371,35.34093903477424,94.76595672012591,30.198,0.639323091254243
3,1,Minjae Kim,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
17,0,Warmed Omari,IVR,FCB-HSV,2nd half,3536417,3678119,60.77697646585853,61.33997562886488,16.113569077776734,141251,52.914748084383405,37.07125408405878,94.96567002295846,47.083666666666666,0.9968102298469332
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,2nd half,3536417,3678119,59.536315349551586,60.48644194563852,16.441967168845427,141531,51.337762693653175,34.481428333379284,95.52260590692178,47.177,0.9987861936585676
8,0,Daniel Elfadli,IVL,FCB-HSV,2nd half,3536417,3678119,63.008520518419054,63.843768115512944,16.078078101067877,141703,57.838723920693134,37.37898689261842,95.53111627452093,47.23433333333333,1.0
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,2nd half,3536417,3678119,68.49135956243417,68.1660916353665,14.763826039712534,139367,74.97136694349919,36.031589724159865,92.31111955928849,46.455666666666666,0.9835148162000804
7,1,Serge David Gnabry,ZO,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
40,1,Jonas Kurt Urbig,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
21,0,Nicolai Remberg,DMR,FCB-HSV,2nd half,3536417,3678119,64.77783095396691,65.5415935343973,15.938579177464844,141703,61.299619967713824,37.93311965712181,96.26015689914946,47.23433333333333,1.0
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,2nd half,3536417,3678119,59.268830445569584,59.236902386905655,16.197663063501416,53650,49.27372497002184,37.321377213660945,94.54309097820855,17.883333333333333,0.3786087803363372
20,1,Tom Bischof,LV,FCB-HSV,2nd half,3536417,3678119,62.177430556866625,62.90127643569073,16.244303773033696,86449,56.44538393028499,36.7779711974835,95.21961875169195,28.816333333333333,0.610071769828444
23,0,Jonas Meffert,DMR,FCB-HSV,2nd half,3536417,3678119,61.13906781132546,61.96318488584491,16.21769679496858,141571,55.50061686407571,33.48457227244225,96.31149794654168,47.190333333333335,0.9990684742030868
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,2nd half,3536417,3678119,62.09782185683317,62.80436643756955,16.062027433211263,49153,56.81315740818235,35.693236003669284,95.54862697486482,16.384333333333334,0.3468733901187695
3,0,Noah Katterbach,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
14,0,Rayan Philippe,LA,FCB-HSV,2nd half,3536417,3678119,62.16852660356565,62.8847795984953,16.72547167467721,141019,54.96246469460448,38.33388205000535,95.61125370240757,47.00633333333334,0.9951730026887222
9,1,Harry Edward Kane,STZ,FCB-HSV,2nd half,3536417,3678119,60.54974571129263,60.794092649551146,15.75042900084522,53974,52.752096246045845,35.5654724499644,95.9308849262832,17.991333333333333,0.3808952527469425
42,1,Lennart Karl,ORM,FCB-HSV,2nd half,3536417,3678119,61.87374692564451,63.0604097884996,16.235089487630443,87721,57.81593239279727,33.55283769773493,95.60507553068372,29.240333333333336,0.6190482911441536
11,1,Nicolas Jackson,STZ,FCB-HSV,2nd half,3536417,3678119,61.065814869548205,61.790159669548906,16.217636576188323,139627,55.526670570915286,34.06077447924567,95.45638099136131,46.54233333333333,0.9853496397394552
44,1,Josip Stanišić,LV,FCB-HSV,2nd half,3536417,3678119,61.81657875303828,62.94613508612878,15.849456059153765,140195,58.20486898327461,33.352481317735865,95.0962892146922,46.73166666666667,0.9893580234716272
26,1,Sven Ulreich,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
2,1,Dayotchanculle Oswald Upamecano,IVR,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,2nd half,3536417,3678119,65.69664120666748,66.31415134629292,15.135553342819778,141703,62.74349379464368,38.64086382629516,96.6899484697382,47.23433333333333,1.0
29,0,Emir Sahiti,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
20,0,Fábio Daniel Ferreira Vieira,RA,FCB-HSV,2nd half,3536417,3678119,62.05611786335321,62.95176241782218,16.29266463134117,93198,57.751154858311665,33.807444511451145,96.04474188864396,31.066,0.657699554702441
22,0,Aboubaka Soumahoro,IVL,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
4,1,Jonathan Glao Tah,IVL,FCB-HSV,2nd half,3536417,3678119,62.31370792680203,62.90808506481157,15.54158382412751,141703,58.56432556623731,34.19352385379007,95.43306848056694,47.23433333333333,1.0
17,1,Michael Akpovie Olise,ORM,FCB-HSV,2nd half,3536417,3678119,60.934405327898936,61.767832714493245,16.19689630266582,140991,54.051945621988985,35.155343937396836,95.89007965961432,46.997,0.9949754063075588
9,0,Robert-Nesta Glatzel,STZ,FCB-HSV,2nd half,3536417,3678119,61.84861783029875,63.01696449343498,16.18336450289622,50129,57.45953902645198,34.06073027498293,95.48861045741026,16.709666666666667,0.3537610354050373
8,1,Leon Christoph Goretzka,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
11,0,Ransford-Yeboah Königsdörffer,STZ,FCB-HSV,2nd half,3536417,3678119,64.74189964083834,65.61956488913074,15.296851098975926,93448,63.3898838455695,35.812949370809356,95.47353763789243,31.149333333333335,0.6594638081056858
44,0,Luka Vušković,IVZ,FCB-HSV,2nd half,3536417,3678119,63.7138106434553,64.26773130680982,16.233852972452677,141703,57.33527430007257,40.48929533461989,95.44304107680104,47.23433333333333,1.0
1,1,Manuel Peter Neuer,TW,FCB-HSV,2nd half,3536417,3678119,65.27141603725579,65.62838866961101,14.760125215567202,135279,68.5671513718751,34.9941046399736,91.1544136550456,45.093,0.9546657445502212
2,0,William Mikelbrencis,DRM,FCB-HSV,2nd half,3536417,3678119,60.89543305793933,61.84079898487848,16.218287706823734,139279,55.17175216698121,35.43680349927022,93.98563713788594,46.42633333333333,0.9828937990021382
24,0,Nicolas Capaldo Taboas,DML,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
26,0,Daniel Peretz,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
6,0,Albert-Mboyo Sambi Lokonga,,FCB-HSV,2nd half,3536417,3678119,,,,0,,,,0.0,0.0
47,1,David Michael Santos Daiber,,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
23,1,Sacha Boey,,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
45,1,Aleksandar Pavlović,DML,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
4,0,Diogo Filipe Monteiro Pinto Leite,IVL,FCU-FCB,1st half,2790583,2940975,61.02209447037367,61.75168300984322,15.635411188088447,149881,56.161976342691055,33.17141709306599,95.3529293512582,49.96033333333333,0.996595586230742
27,1,Konrad Laimer,RV,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
14,1,Luis Fernando Díaz Marulanda,OLM,FCU-FCB,1st half,2790583,2940975,61.98413185053293,63.416606556190104,16.130699284095645,150393,57.7111311729715,34.49723646531705,95.16836147249737,50.131,1.0
3,1,Minjae Kim,,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
8,0,Rani Khedira,HL,FCU-FCB,1st half,2790583,2940975,60.01551011322638,61.24489975611437,16.714499962500952,150393,52.92961480921114,33.97265861665422,95.5062220151522,50.131,1.0
19,0,Janik Haberer,DRM,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
10,0,Ilyas Ansah,STL,FCU-FCB,1st half,2790583,2940975,,,,0,,,,0.0,0.0
